月描述,乘用销售区域,乘用销售分部,客户编码,客户名称,产品大类,花纹,轮辋（乘用）,车型,规格,品牌（中文）,销售订单数量
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiComfort T20,14,轿车,175/65R14,佳通,21
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiComfort T20,14,轿车,185/60R14,佳通,21
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiComfort T20,14,轿车,185/65R14,佳通,42
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiComfort T20,14,轿车,185/70R14,佳通,44
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiComfort T20,14,轿车,195/60R14,佳通,20
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiComfort T20,15,轿车,195/55R15,佳通,20
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiComfort T20,15,轿车,205/65R15,佳通,4
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiComfort Winter20,15,轿车,185/60R15,佳通,40
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiComfort Winter20,16,轿车,205/60R16,佳通,20
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiTaxi 900,13,轿车,165/70R13,佳通,147
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiTaxi 900,14,轿车,165/70R14,佳通,1
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiTaxi 900,14,轿车,175/70R14,佳通,260
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiTaxi 900,14,轿车,195/60R14,佳通,20
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiTaxi 900,15,轿车,185/65R15,佳通,200
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiTaxi 900,15,轿车,195/55R15,佳通,20
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiTaxi 900,15,轿车,195/60R15,佳通,100
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiTaxi 900,15,轿车,195/65R15,佳通,200
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiVan 600,13,小商用,155R13C LT,佳通,5
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiVan 600,14,小商用,175/70R14C LT,佳通,11
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiVan 600A,13,小商用,165/70R13C LT,佳通,63
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiVan 600V1,14,小商用,175/70R14C LT,佳通,30
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,SAVERO HT PLUS,16,4×4,235/70R16,佳通,60
2020-12,东北区,辽宁,CKH0024005,沈阳跃海通轮胎有限公司,101半钢外胎,GitiComfort F50,17,SUV,225/65R17,佳通,55
2020-12,东北区,辽宁,CKH0024023,沈阳锐威捷商贸有限公司,101半钢外胎,Giti4×4 AT100,15,4×4,LT235/75R15,佳通,8
2020-12,东北区,辽宁,CKH0024023,沈阳锐威捷商贸有限公司,101半钢外胎,Giti4×4 AT100,16,4×4,LT235/70R16,佳通,31
2020-12,东北区,辽宁,CKH0024023,沈阳锐威捷商贸有限公司,101半钢外胎,GitiComfort 228,15,轿车,185/60R15,佳通,100
2020-12,东北区,辽宁,CKH0024023,沈阳锐威捷商贸有限公司,101半钢外胎,GitiComfort 228v1,16,轿车,215/60R16,佳通,56
2020-12,东北区,辽宁,CKH0024023,沈阳锐威捷商贸有限公司,101半钢外胎,GitiComfort 228v1,17,轿车,205/50R17,佳通,8
2020-12,东北区,辽宁,CKH0024023,沈阳锐威捷商贸有限公司,101半钢外胎,GitiComfort 228v1,17,轿车,215/50R17,佳通,56
2020-12,东北区,辽宁,CKH0024023,沈阳锐威捷商贸有限公司,101半钢外胎,GitiComfort 228v1,17,轿车,225/55R17,佳通,56
2020-12,东北区,辽宁,CKH0024023,沈阳锐威捷商贸有限公司,101半钢外胎,GitiComfort SUV 520,18,SUV,235/55R18,佳通,20
2020-12,东北区,辽宁,CKH0024023,沈阳锐威捷商贸有限公司,101半钢外胎,GitiComfort T20,12,轿车,145/70R12,佳通,20
2020-12,东北区,辽宁,CKH0024023,沈阳锐威捷商贸有限公司,101半钢外胎,GitiComfort T20,14,轿车,185/65R14,佳通,105
2020-12,东北区,辽宁,CKH0024023,沈阳锐威捷商贸有限公司,101半钢外胎,GitiComfort T20,14,轿车,185/70R14,佳通,107
2020-12,东北区,辽宁,CKH0024023,沈阳锐威捷商贸有限公司,101半钢外胎,GitiComfort T20,15,轿车,185/55R15,佳通,2
2020-12,东北区,辽宁,CKH0024023,沈阳锐威捷商贸有限公司,101半钢外胎,GitiComfort Winter20,15,轿车,185/65R15,佳通,102
2020-12,东北区,辽宁,CKH0024023,沈阳锐威捷商贸有限公司,101半钢外胎,GitiComfort Winter20,15,轿车,195/65R15,佳通,200
2020-12,东北区,辽宁,CKH0024023,沈阳锐威捷商贸有限公司,101半钢外胎,GitiComfort Winter20,16,轿车,205/55R16,佳通,200
2020-12,东北区,辽宁,CKH0024023,沈阳锐威捷商贸有限公司,101半钢外胎,GitiComfort Winter20,16,轿车,205/60R16,佳通,2
